;; A mapping for multi-word expressions that correspond to Amenities in Hotels
;; It follows the pattern of the WN->SUMO mappings
;; An explanation of synsets data format is in http://wordnet.princeton.edu/man/wndb.5WN.html. 
;; A record is of the form:
;; synset_offset  lex_filenum  ss_type  w_cnt  word  lex_id  [word  lex_id...]  p_cnt  [ptr...]  [frames...]  |   gloss &%SUMOconcept symbol(+,=) 
;; examples:
;; 00001740 03 n 01 entity 0 003 ~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000 | that which is perceived or known or inferred to have its own distinct existence (living or nonliving) &%Entity=
;; 04371430 06 n 02 swimming_trunks 0 bathing_trunks 0 002 @ 04371563 n 0000 ;u 06295235 n 0000 | swimsuit worn by men while swimming &%Clothing+
;; The list of hotel amenities is in http://wiki/display/eng/Hotel+Ontology
;; Preliminary version Oct 20, 2011  Valeria de Paiva (lexicographer 99)

15300061 99 n 02 ac_120_power_source 0 ac_120_power_socket 0 000 | a power source that generates 120 volts of electricity &%AC120PowerSource=
15300071 99 n 02 ac_220_power_source 0 ac_120_power_socket 0 000 | a power source that generates 220 volts of electricity &%AC220PowerSource=
15300081 99 n 01 all_day_room_service 0 000 | room service available through the day, 24 hours a day &%AllDayRoomService=
02686379 06 n 02 air_conditioner 0 air_conditioning 0 005 @ 03102859 n 0000 + 02331575 v 0201 + 02331326 v 0202 + 02331326 v 0102 + 02331575 v 0101 | a system that keeps air cool and dry &%AirConditioner=
15300091 99 n 02 am_fm_alarm_clock 0 am_fm_radio_clock 0 000 | a radio  that works as an alarm clock &%AMFMAlarmClock
15300101 99 n 03 audio_cd_system 0 cd_player 0 compact_disc_player 0 000 | an electronic device that plays audio Compact Discs (CDs) &%AudioCDSystem
02777734 06 n 01 balcony 1 003 @ 04341686 n 0000 %p 02788148 n 0000 ~ 03411544 n 0000 | a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet &%Balcony=
15300111 99 n 02 baby_monitoring_system 0 baby_monitor 0 000 | a radio system used to remotely listen to sounds made by an infant &%BabyMonitoringSystem=
15300121 99 n 01 bathroom_telephone 0 000 | a telephone located in the bathroom &%Telephone+
02808440 06 n 04 bathtub 0 bathing_tub 0 bath 0 tub 1 006 @ 04531098 n 0000 #p 02807731 n 0000 + 00037919 v 0302 ~ 03379343 n 0000 ~ 03543603 n 0000 ~ 04225031 n 0000 | a relatively large open container that you fill with water and use to wash the body &%BathTub=
02807731 06 n 02 bathroom 0 bath 1 007 @ 04105893 n 0000 #p 03259505 n 0000 + 00037919 v 0202 %p 02808440 n 0000 %p 04209613 n 0000 %p 04446521 n 0000 %p 04553703 n 0000 | a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet &%Bathroom=
15300131 99 n 01 bidet 0 000 | a low-mounted plumbing fixture or type of sink intended for washing the genitalia &%Bidet=
15300141 99 n 02 cable_television_set 0 cable_television 0 000 | a device that combines a tuner, display, and speakers for the purpose of viewing cable television.  &%CableTelevisionSet=
07929519 13 n 02 coffee 0 java 0 016 @ 07881800 n 0000 ~ 07731122 n 0000 ~ 07919441 n 0000 ~ 07919572 n 0000 ~ 07919665 n 0000 ~ 07919787 n 0000 ~ 07919894 n 0000 ~ 07920052 n 0000 ~ 07920349 n 0000 ~ 07920540 n 0000 ~ 07920663 n 0000 ~ 07920872 n 0000 ~ 07921239 n 0000 %s 07929351 n 0000 ~ 07929940 n 0000 %s 14761122 n 0000 | a beverage consisting of an infusion of ground coffee beans; "he ordered a cup of coffee" &%Coffee=
